Term,Definition,Example,Image
Stocks,"When you buy stocks, you own a small part of a company.","Buying stock in a company means you own a piece of that company.","https://img.etimg.com/thumb/width-1200,height-900,imgsize-58262,resizemode-75,msid-117305821/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-market-action-on-friday.jpg"
Bonds,"When you buy bonds, you are lending money to a company or government and they pay you interest.","When you buy a bond, the company or government promises to pay you back with interest.","https://www.bankrate.com/2021/08/12135903/Corporate-bonds-Here-are-the-risks-and-rewards.jpeg"
Mutual Funds,"These are like baskets that hold different types of investments (stocks, bonds, etc.) so you don't need to pick individual ones.","Instead of buying one stock, you can invest in a mutual fund that holds many stocks.","https://media.geeksforgeeks.org/wp-content/cdn-uploads/20230313181130/Mutual-Funds.png"
Dividends,"This is money a company gives you as a thank you for owning their stock.","If you own stock in a company, they might send you dividends every year.","https://www.investopedia.com/thmb/ILDJ-zoFAA89sua2isKJ2lp-ilQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Dividend-44d29cb374a34b1391ec3d48b08ecab6.jpg"
Interest,"The extra money you earn when you lend money or put it in a savings account.","If you put money in the bank, they pay you interest over time.","https://www.investopedia.com/thmb/DheiDAbnZmPlhRLpFN8Qt-C4Mrc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/interest-rates-1d0e17952d9949b1bab273e830855f90.png"
Assets,"Things that are worth money or can be turned into money.","Your car, house, and savings are all examples of assets.","https://cdn-jklip.nitrocdn.com/safSuIdqgDlBkQZOuiEFYetySutVuoYj/assets/images/optimized/rev-8d551bb/happay.com/blog/wp-content/uploads/sites/12/2023/07/different-types-of-financial-assets.webp"
Liabilities,"Money you owe, like debts or loans.","Your credit card debt or a car loan are liabilities.","https://paytmblogcdn.paytm.com/wp-content/uploads/2024/09/What-are-Assets-and-Liabilities_.jpg"
Equity,"This is how much of a company or property you own after subtracting what you owe.","If you own a house, your equity is how much it is worth minus the mortgage.","https://www.investopedia.com/thmb/G9BNReCww_Aw-tePGay6komtkEU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/_equity_final-a71099b17173432f813b15202e64459d.png"
Inflation,"When the prices of things go up, meaning your money doesn't buy as much as it used to.","If inflation is high, the same amount of money buys fewer things than before.","https://www.investopedia.com/thmb/bWceoyUpbvpPBvIGFlvJmTE82L0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/inflation_final-8652eb79d80348f49810849af466bb44.png"
Capital,"Money or things you own that can be used to make more money.","A business uses capital to buy equipment or pay employees to make more money.","https://www.investopedia.com/thmb/ODQtbIBPTPMmOGqpSf4dq3YI9NM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Capital-3bc2fc0c5a6e469e9c415661f72e1add.jpg"
Portfolio,"A mix of investments you own, like stocks, bonds, or property.","A portfolio can include stocks, bonds, and real estate.","https://www.investopedia.com/thmb/0VrXWhfooj6-RPyyvp7HoCdq1Vo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Term_Defination_Financial.Portfolio-367fc73212ac456aa607ad135db4ffa0.jpg"
Risk,"The chance you could lose money or not get the returns you expect.","Investing in the stock market has some risk because prices can go up and down.","https://www.investopedia.com/thmb/eK4Rtkueww4NsbhnhE9UvOIRCSM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/TermDefinitions_FinancialRisk_4-3-edit-77707a14d4c44c75b3e32d9c1b9e45b1.jpg"
Savings,"Money you set aside for the future, not spent on everyday things.","Putting money into a savings account is a way to save for the future.","https://www.investopedia.com/thmb/TquAL9u5zKM96kPLlTYBnZpVpgA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/savings.asp-final-3bd32a0bd2d542858c51096777637772.png"
Liquidity,"How quickly you can turn something into cash without losing its value.","Cash is the most liquid asset because you can use it immediately. Stocks are also fairly liquid.","https://m.foolcdn.com/media/dubs/original_images/liquidity-infographic.png"
Credit,"The ability to borrow money and pay it back later.","Using a credit card lets you borrow money to buy things and pay for them later.","https://www.investopedia.com/thmb/PiX1N_NjIoofmApM8odHfBw1OZw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/credit_definition_0927-c6b92227eef541558c471de0504e820a.jpg"
Debt,"Money you owe to others that you need to pay back.","A student loan is an example of debt that you pay back over time.","https://etimg.etb2bimg.com/thumb/msid-107629436,width-1200,height-900,resizemode-4/.jpg"
Income,"Money you earn from work or investments.","Your salary from your job is your income.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbDBMg5fw6naeFyI4ZNvnyZy2hgQRCG1IOSQ&s"
Expenses,"Money you spend on things you need or want.","Groceries and rent are examples of monthly expenses.","https://www.adirondackbank.com/assets/Blog/Nov29_Expenses.png"
Net Worth,"The total value of everything you own minus everything you owe.","If you own a house worth $100,000 and have $20,000 in debt, your net worth is $80,000.","https://d138zd1ktt9iqe.cloudfront.net/media/seo_landing_files/net-worth-formula-1623404765.png"
Financial Planning,"The process of making a plan to manage your money and reach your goals.","Creating a budget and saving for a vacation are part of financial planning.","https://blogs.dpuerp.in/images/blog/70/28-financial-planning-decisions.jpg"

